,zaman_mazi_sadeh,zaman_mazi_estemrari,zaman_mazi_baeid,zaman_mazi_eltezami,mazi_mostamar,mozare_ekhbari,mozare_eltezami,mozare_estemrari,َAyandeh,Amr
128,بخارپز کرد,بخارپز می کرد,بخارپز کرده بود,بخارپز کرده باش,داشته بخارپز می کرده,بخارپز می کنه,بخارپز بکنه,داره بخارپز می کنه,می خواد بخارپز بکنه,بخارپز بکنه
129,بخارپز کردیم,بخارپز می کردیم,بخارپز کرده بودیم,بخارپز کرده باشیم,داشتیم بخارپز می کردیم,بخارپز می کنیم,بخارپز بکنیم,داریم بخارپز می کنیم,می خوایم بخارپز بکنیم,بخارپز بکنیم
130,بخارپز کردین,بخارپز می کردین,بخارپز کرده بودین,بخارپز کرده باشین,داشتین بخارپز می کردین,بخارپز می کنین,بخارپز بکنین,دارین بخارپز می کنین,می خواین بخارپز بکنین,بخارپز بکنین
131,بخارپز کردن,بخارپز می کردن,بخارپز کرده بودن,بخارپز کرده باشن,داشتن بخارپز می کردن,بخارپز می کنن,بخارپز بکنن,دارن بخارپز می کنن,می خوان بخارپز بکنن,بخارپز بکنن
132,بخشیدم,می بخشیدم,بخشیده بودم,بخشیده باشم,داشتم  می بخشیدم,می بخشم,ببخشم,دارم  می بخشم,می خوام ببخشم,-
133,بخشیدی,می بخشیدی,بخشیده بودی,بخشیده باشی,داشتی  می بخشیدی,می بخشی,ببخشی,داری  می بخشی,می خوای ببخشی,ببخش
134,بخشید,می بخشید,بخشیده بود,بخشیده باش,داشته  می بخشیده,می بخشه,ببخشه,داره  می بخشه,می خواد ببخشه,ببخشه
135,بخشیدیم,می بخشیدیم,بخشیده بودیم,بخشیده باشیم,داشتیم  می بخشیدیم,می بخشیم,ببخشیم,داریم  می بخشیم,می خوایم ببخشیم,ببخشیم
136,بخشیدین,می بخشیدین,بخشیده بودین,بخشیده باشین,داشتین  می بخشیدین,می بخشین,ببخشین,دارین  می بخشین,می خواین ببخشین,ببخشین
137,بخشیدن,می بخشیدن,بخشیده بودن,بخشیده باشن,داشتن  می بخشیدن,می بخشن,ببخشن,دارن  می بخشن,می خوان ببخشن,ببخشن
138,برداشتم,می برداشتم,برداشته بودم,برداشته باشم,داشتم  می برداشتم,بر می دارم,بر دارم,دارم بر می دارم,می خوام بر دارم,-
139,برداشتی,می برداشتی,برداشته بودی,برداشته باشی,داشتی  می برداشتی,بر می داری,بر داری,داری بر می داری,می خوای بر داری,بر دار
140,برداشت,می برداشت,برداشته بود,برداشته باش,داشته  می برداشته,بر می داره,بر داره,داره بر می داره,می خواد بر داره,بر داره
141,برداشتیم,می برداشتیم,برداشته بودیم,برداشته باشیم,داشتیم  می برداشتیم,بر می داریم,بر داریم,داریم بر می داریم,می خوایم بر داریم,بر داریم
142,برداشتین,می برداشتین,برداشته بودین,برداشته باشین,داشتین  می برداشتین,بر می دارین,بر دارین,دارین بر می دارین,می خواین بر دارین,بر دارین
143,برداشتن,می برداشتن,برداشته بودن,برداشته باشن,داشتن  می برداشتن,بر می دارن,بر دارن,دارن بر می دارن,می خوان بر دارن,بر دارن
144,برگشتم,می برگشتم,برگشته بودم,برگشته باشم,داشتم  می برگشتم,بر می گردم,بر گردم,دارم بر می گردم,می خوام بر گردم,-
145,برگشتی,می برگشتی,برگشته بودی,برگشته باشی,داشتی  می برگشتی,بر می گردی,بر گردی,داری بر می گردی,می خوای بر گردی,بر گرد
146,برگشت,می برگشت,برگشته بود,برگشته باش,داشته  می برگشته,بر می گرده,بر گرده,داره بر می گرده,می خواد بر گرده,بر گرده
147,برگشتیم,می برگشتیم,برگشته بودیم,برگشته باشیم,داشتیم  می برگشتیم,بر می گردیم,بر گردیم,داریم بر می گردیم,می خوایم بر گردیم,بر گردیم
148,برگشتین,می برگشتین,برگشته بودین,برگشته باشین,داشتین  می برگشتین,بر می گردین,بر گردین,دارین بر می گردین,می خواین بر گردین,بر گردین
149,برگشتن,می برگشتن,برگشته بودن,برگشته باشن,داشتن  می برگشتن,بر می گردن,بر گردن,دارن بر می گردن,می خوان بر گردن,بر گردن
150,بردم,می بردم,برده بودم,برده باشم,داشتم  می بردم,می برم,ببرم,دارم  می برم,می خوام ببرم,-
151,بردی,می بردی,برده بودی,برده باشی,داشتی  می بردی,می بری,ببری,داری  می بری,می خوای ببری,ببر
