,roots,indicative_past.past_simple,indicative_past.past imperfective,indicative_past.past_progressive,indicative_past.past_narrative,indicative_past.past_precedent,indicative_present.present_simple,indicative_present.present_imperfective,indicative_present.present_progressive,indicative_future.future_simple,subjunctive_past.past_narrative,subjunctive_present.present_simple,imperative_present.present_simple
4,کن,آرایش کردید,آرایش می‌کردید,داشتید آرایش می‌کردید,آرایش کرده‌اید,آرایش کرده بودید,آرایش کنید,آرایش می‌کنید,دارید آرایش می‌کنید,آرایش خواهید کرد,آرایش کرده باشید,آرایش بکنید,آرایش بکنید
5,-,آرایش کردند,آرایش می‌کردند,داشتند آرایش می‌کردند,آرایش کرده‌اند,آرایش کرده بودند,آرایش کنند,آرایش می‌کنند,دارند آرایش می‌کنند,آرایش خواهند کرد,آرایش کرده باشند,آرایش بکنند,آرایش بکنند
0,آسیاب کردن,آسیاب کردم,آسیاب می‌کردم,داشتم آسیاب می‌کردم,آسیاب کرده‌ام,آسیاب کرده بودم,آسیاب کنم,آسیاب می‌کنم,دارم آسیاب می‌کنم,آسیاب خواهم کرد,آسیاب کرده باشم,آسیاب بکنم,-
1,کردن,آسیاب کردی,آسیاب می‌کردی,داشتی آسیاب می‌کردی,آسیاب کرده‌ای,آسیاب کرده بودی,آسیاب کنی,آسیاب می‌کنی,داری آسیاب می‌کنی,آسیاب خواهی کرد,آسیاب کرده باشی,آسیاب بکنی,آسیاب بکن
2,کرد,آسیاب کرد,آسیاب می‌کرد,داشت آسیاب می‌کرد,آسیاب کرده(است),آسیاب کرده بود,آسیاب کند,آسیاب می‌کند,دارد آسیاب می‌کند,آسیاب خواهد کرد,آسیاب کرده باشد,آسیاب بکند,آسیاب بکند
3,کرده,آسیاب کردیم,آسیاب می‌کردیم,داشتیم آسیاب می‌کردیم,آسیاب کرده‌ایم,آسیاب کرده بودیم,آسیاب کنیم,آسیاب می‌کنیم,داریم آسیاب می‌کنیم,آسیاب خواهیم کرد,آسیاب کرده باشیم,آسیاب بکنیم,آسیاب بکنیم
4,کن,آسیاب کردید,آسیاب می‌کردید,داشتید آسیاب می‌کردید,آسیاب کرده‌اید,آسیاب کرده بودید,آسیاب کنید,آسیاب می‌کنید,دارید آسیاب می‌کنید,آسیاب خواهید کرد,آسیاب کرده باشید,آسیاب بکنید,آسیاب بکنید
5,-,آسیاب کردند,آسیاب می‌کردند,داشتند آسیاب می‌کردند,آسیاب کرده‌اند,آسیاب کرده بودند,آسیاب کنند,آسیاب می‌کنند,دارند آسیاب می‌کنند,آسیاب خواهند کرد,آسیاب کرده باشند,آسیاب بکنند,آسیاب بکنند
0,آمدن,آمدم,می‌آمدم,داشتم می‌آمدم,آمده‌ام,آمده بودم,آیم,می‌آیم,دارم می‌آیم,خواهم آمد,آمده باشم,بیایم,-
1,آمد,آمدی,می‌آمدی,داشتی می‌آمدی,آمده‌ای,آمده بودی,آیی,می‌آیی,داری می‌آیی,خواهی آمد,آمده باشی,بیایی,بیا
2,آمده,آمد,می‌آمد,داشت می‌آمد,آمده(است),آمده بود,آید,می‌آید,دارد می‌آید,خواهد آمد,آمده باشد,بیاید,بیاید
3,آ,آمدیم,می‌آمدیم,داشتیم می‌آمدیم,آمده‌ایم,آمده بودیم,آییم,می‌آییم,داریم می‌آییم,خواهیم آمد,آمده باشیم,بیاییم,بیاییم
4,-,آمدید,می‌آمدید,داشتید می‌آمدید,آمده‌اید,آمده بودید,آیید,می‌آیید,دارید می‌آیید,خواهید آمد,آمده باشید,بیایید,بیایید
5,-,آمدند,می‌آمدند,داشتند می‌آمدند,آمده‌اند,آمده بودند,آیند,می‌آیند,دارند می‌آیند,خواهند آمد,آمده باشند,بیایند,بیایند
0,آواز خواندن,آواز خواندم,آواز می‌خواندم,داشتم آواز می‌خواندم,آواز خوانده‌ام,آواز خوانده بودم,آواز خوانم,آواز می‌خوانم,دارم آواز می‌خوانم,آواز خواهم خواند,آواز خوانده باشم,آواز بخوانم,-
1,خواندن,آواز خواندی,آواز می‌خواندی,داشتی آواز می‌خواندی,آواز خوانده‌ای,آواز خوانده بودی,آواز خوانی,آواز می‌خوانی,داری آواز می‌خوانی,آواز خواهی خواند,آواز خوانده باشی,آواز بخوانی,آواز بخوان
2,خواند,آواز خواند,آواز می‌خواند,داشت آواز می‌خواند,آواز خوانده(است),آواز خوانده بود,آواز خواند,آواز می‌خواند,دارد آواز می‌خواند,آواز خواهد خواند,آواز خوانده باشد,آواز بخواند,آواز بخواند
3,خوانده,آواز خواندیم,آواز می‌خواندیم,داشتیم آواز می‌خواندیم,آواز خوانده‌ایم,آواز خوانده بودیم,آواز خوانیم,آواز می‌خوانیم,داریم آواز می‌خوانیم,آواز خواهیم خواند,آواز خوانده باشیم,آواز بخوانیم,آواز بخوانیم
4,خوان,آواز خواندید,آواز می‌خواندید,داشتید آواز می‌خواندید,آواز خوانده‌اید,آواز خوانده بودید,آواز خوانید,آواز می‌خوانید,دارید آواز می‌خوانید,آواز خواهید خواند,آواز خوانده باشید,آواز بخوانید,آواز بخوانید
5,-,آواز خواندند,آواز می‌خواندند,داشتند آواز می‌خواندند,آواز خوانده‌اند,آواز خوانده بودند,آواز خوانند,آواز می‌خوانند,دارند آواز می‌خوانند,آواز خواهند خواند,آواز خوانده باشند,آواز بخوانند,آواز بخوانند
0,آوردن,آوردم,می‌آوردم,داشتم می‌آوردم,آورده‌ام,آورده بودم,آورم,می‌آورم,دارم می‌آورم,خواهم آورد,آورده باشم,بیاورم,-
1,آورد,آوردی,می‌آوردی,داشتی می‌آوردی,آورده‌ای,آورده بودی,آوری,می‌آوری,داری می‌آوری,خواهی آورد,آورده باشی,بیاوری,بیاور
2,آورده,آورد,می‌آورد,داشت می‌آورد,آورده(است),آورده بود,آورد,می‌آورد,دارد می‌آورد,خواهد آورد,آورده باشد,بیاورد,بیاورد
3,آور,آوردیم,می‌آوردیم,داشتیم می‌آوردیم,آورده‌ایم,آورده بودیم,آوریم,می‌آوریم,داریم می‌آوریم,خواهیم آورد,آورده باشیم,بیاوریم,بیاوریم
4,-,آوردید,می‌آوردید,داشتید می‌آوردید,آورده‌اید,آورده بودید,آورید,می‌آورید,دارید می‌آورید,خواهید آورد,آورده باشید,بیاورید,بیاورید
5,-,آوردند,می‌آوردند,داشتند می‌آوردند,آورده‌اند,آورده بودند,آورند,می‌آورند,دارند می‌آورند,خواهند آورد,آورده باشند,بیاورند,بیاورند
0,آویزان کردن,آویزان کردم,آویزان می‌کردم,داشتم آویزان می‌کردم,آویزان کرده‌ام,آویزان کرده بودم,آویزان کنم,آویزان می‌کنم,دارم آویزان می‌کنم,آویزان خواهم کرد,آویزان کرده باشم,آویزان بکنم,-
1,کردن,آویزان کردی,آویزان می‌کردی,داشتی آویزان می‌کردی,آویزان کرده‌ای,آویزان کرده بودی,آویزان کنی,آویزان می‌کنی,داری آویزان می‌کنی,آویزان خواهی کرد,آویزان کرده باشی,آویزان بکنی,آویزان بکن
2,کرد,آویزان کرد,آویزان می‌کرد,داشت آویزان می‌کرد,آویزان کرده(است),آویزان کرده بود,آویزان کند,آویزان می‌کند,دارد آویزان می‌کند,آویزان خواهد کرد,آویزان کرده باشد,آویزان بکند,آویزان بکند
3,کرده,آویزان کردیم,آویزان می‌کردیم,داشتیم آویزان می‌کردیم,آویزان کرده‌ایم,آویزان کرده بودیم,آویزان کنیم,آویزان می‌کنیم,داریم آویزان می‌کنیم,آویزان خواهیم کرد,آویزان کرده باشیم,آویزان بکنیم,آویزان بکنیم
4,کن,آویزان کردید,آویزان می‌کردید,داشتید آویزان می‌کردید,آویزان کرده‌اید,آویزان کرده بودید,آویزان کنید,آویزان می‌کنید,دارید آویزان می‌کنید,آویزان خواهید کرد,آویزان کرده باشید,آویزان بکنید,آویزان بکنید
5,-,آویزان کردند,آویزان می‌کردند,داشتند آویزان می‌کردند,آویزان کرده‌اند,آویزان کرده بودند,آویزان کنند,آویزان می‌کنند,دارند آویزان می‌کنند,آویزان خواهند کرد,آویزان کرده باشند,آویزان بکنند,آویزان بکنند
0,ادامه دادن,ادامه دادم,ادامه می‌دادم,داشتم ادامه می‌دادم,ادامه داده‌ام,ادامه داده بودم,ادامه دهم,ادامه می‌دهم,دارم ادامه می‌دهم,ادامه خواهم داد,ادامه داده باشم,ادامه بدهم,-
1,دادن,ادامه دادی,ادامه می‌دادی,داشتی ادامه می‌دادی,ادامه داده‌ای,ادامه داده بودی,ادامه دهی,ادامه می‌دهی,داری ادامه می‌دهی,ادامه خواهی داد,ادامه داده باشی,ادامه بدهی,ادامه بده
2,داد,ادامه داد,ادامه می‌داد,داشت ادامه می‌داد,ادامه داده(است),ادامه داده بود,ادامه دهد,ادامه می‌دهد,دارد ادامه می‌دهد,ادامه خواهد داد,ادامه داده باشد,ادامه بدهد,ادامه بدهد
3,داده,ادامه دادیم,ادامه می‌دادیم,داشتیم ادامه می‌دادیم,ادامه داده‌ایم,ادامه داده بودیم,ادامه دهیم,ادامه می‌دهیم,داریم ادامه می‌دهیم,ادامه خواهیم داد,ادامه داده باشیم,ادامه بدهیم,ادامه بدهیم
4,ده,ادامه دادید,ادامه می‌دادید,داشتید ادامه می‌دادید,ادامه داده‌اید,ادامه داده بودید,ادامه دهید,ادامه می‌دهید,دارید ادامه می‌دهید,ادامه خواهید داد,ادامه داده باشید,ادامه بدهید,ادامه بدهید
5,-,ادامه دادند,ادامه می‌دادند,داشتند ادامه می‌دادند,ادامه داده‌اند,ادامه داده بودند,ادامه دهند,ادامه می‌دهند,دارند ادامه می‌دهند,ادامه خواهند داد,ادامه داده باشند,ادامه بدهند,ادامه بدهند
0,ارزیدن,ارزیدم,می‌ارزیدم,داشتم می‌ارزیدم,ارزیده‌ام,ارزیده بودم,ارزم,می‌ارزم,دارم می‌ارزم,خواهم ارزید,ارزیده باشم,بیرزم,-
1,ارزید,ارزیدی,می‌ارزیدی,داشتی می‌ارزیدی,ارزیده‌ای,ارزیده بودی,ارزی,می‌ارزی,داری می‌ارزی,خواهی ارزید,ارزیده باشی,بیرزی,بیرز
2,ارزیده,ارزید,می‌ارزید,داشت می‌ارزید,ارزیده(است),ارزیده بود,ارزد,می‌ارزد,دارد می‌ارزد,خواهد ارزید,ارزیده باشد,بیرزد,بیرزد
3,ارز,ارزیدیم,می‌ارزیدیم,داشتیم می‌ارزیدیم,ارزیده‌ایم,ارزیده بودیم,ارزیم,می‌ارزیم,داریم می‌ارزیم,خواهیم ارزید,ارزیده باشیم,بیرزیم,بیرزیم
4,-,ارزیدید,می‌ارزیدید,داشتید می‌ارزیدید,ارزیده‌اید,ارزیده بودید,ارزید,می‌ارزید,دارید می‌ارزید,خواهید ارزید,ارزیده باشید,بیرزید,بیرزید
5,-,ارزیدند,می‌ارزیدند,داشتند می‌ارزیدند,ارزیده‌اند,ارزیده بودند,ارزند,می‌ارزند,دارند می‌ارزند,خواهند ارزید,ارزیده باشند,بیرزند,بیرزند
0,استراحت کردن,استراحت کردم,استراحت می‌کردم,داشتم استراحت می‌کردم,استراحت کرده‌ام,استراحت کرده بودم,استراحت کنم,استراحت می‌کنم,دارم استراحت می‌کنم,استراحت خواهم کرد,استراحت کرده باشم,استراحت بکنم,-
1,کردن,استراحت کردی,استراحت می‌کردی,داشتی استراحت می‌کردی,استراحت کرده‌ای,استراحت کرده بودی,استراحت کنی,استراحت می‌کنی,داری استراحت می‌کنی,استراحت خواهی کرد,استراحت کرده باشی,استراحت بکنی,استراحت بکن
2,کرد,استراحت کرد,استراحت می‌کرد,داشت استراحت می‌کرد,استراحت کرده(است),استراحت کرده بود,استراحت کند,استراحت می‌کند,دارد استراحت می‌کند,استراحت خواهد کرد,استراحت کرده باشد,استراحت بکند,استراحت بکند
3,کرده,استراحت کردیم,استراحت می‌کردیم,داشتیم استراحت می‌کردیم,استراحت کرده‌ایم,استراحت کرده بودیم,استراحت کنیم,استراحت می‌کنیم,داریم استراحت می‌کنیم,استراحت خواهیم کرد,استراحت کرده باشیم,استراحت بکنیم,استراحت بکنیم
4,کن,استراحت کردید,استراحت می‌کردید,داشتید استراحت می‌کردید,استراحت کرده‌اید,استراحت کرده بودید,استراحت کنید,استراحت می‌کنید,دارید استراحت می‌کنید,استراحت خواهید کرد,استراحت کرده باشید,استراحت بکنید,استراحت بکنید
5,-,استراحت کردند,استراحت می‌کردند,داشتند استراحت می‌کردند,استراحت کرده‌اند,استراحت کرده بودند,استراحت کنند,استراحت می‌کنند,دارند استراحت می‌کنند,استراحت خواهند کرد,استراحت کرده باشند,استراحت بکنند,استراحت بکنند
0,اضافه کردن,اضافه کردم,اضافه می‌کردم,داشتم اضافه می‌کردم,اضافه کرده‌ام,اضافه کرده بودم,اضافه کنم,اضافه می‌کنم,دارم اضافه می‌کنم,اضافه خواهم کرد,اضافه کرده باشم,اضافه بکنم,-
1,کردن,اضافه کردی,اضافه می‌کردی,داشتی اضافه می‌کردی,اضافه کرده‌ای,اضافه کرده بودی,اضافه کنی,اضافه می‌کنی,داری اضافه می‌کنی,اضافه خواهی کرد,اضافه کرده باشی,اضافه بکنی,اضافه بکن
2,کرد,اضافه کرد,اضافه می‌کرد,داشت اضافه می‌کرد,اضافه کرده(است),اضافه کرده بود,اضافه کند,اضافه می‌کند,دارد اضافه می‌کند,اضافه خواهد کرد,اضافه کرده باشد,اضافه بکند,اضافه بکند
3,کرده,اضافه کردیم,اضافه می‌کردیم,داشتیم اضافه می‌کردیم,اضافه کرده‌ایم,اضافه کرده بودیم,اضافه کنیم,اضافه می‌کنیم,داریم اضافه می‌کنیم,اضافه خواهیم کرد,اضافه کرده باشیم,اضافه بکنیم,اضافه بکنیم
4,کن,اضافه کردید,اضافه می‌کردید,داشتید اضافه می‌کردید,اضافه کرده‌اید,اضافه کرده بودید,اضافه کنید,اضافه می‌کنید,دارید اضافه می‌کنید,اضافه خواهید کرد,اضافه کرده باشید,اضافه بکنید,اضافه بکنید
5,-,اضافه کردند,اضافه می‌کردند,داشتند اضافه می‌کردند,اضافه کرده‌اند,اضافه کرده بودند,اضافه کنند,اضافه می‌کنند,دارند اضافه می‌کنند,اضافه خواهند کرد,اضافه کرده باشند,اضافه بکنند,اضافه بکنند
0,افتادن,افتادم,می‌افتادم,داشتم می‌افتادم,افتاده‌ام,افتاده بودم,افتم,می‌افتم,دارم می‌افتم,خواهم افتاد,افتاده باشم,بیفتم,-
1,افتاد,افتادی,می‌افتادی,داشتی می‌افتادی,افتاده‌ای,افتاده بودی,افتی,می‌افتی,داری می‌افتی,خواهی افتاد,افتاده باشی,بیفتی,بیفت
2,افتاده,افتاد,می‌افتاد,داشت می‌افتاد,افتاده(است),افتاده بود,افتد,می‌افتد,دارد می‌افتد,خواهد افتاد,افتاده باشد,بیفتد,بیفتد
3,افت,افتادیم,می‌افتادیم,داشتیم می‌افتادیم,افتاده‌ایم,افتاده بودیم,افتیم,می‌افتیم,داریم می‌افتیم,خواهیم افتاد,افتاده باشیم,بیفتیم,بیفتیم
4,-,افتادید,می‌افتادید,داشتید می‌افتادید,افتاده‌اید,افتاده بودید,افتید,می‌افتید,دارید می‌افتید,خواهید افتاد,افتاده باشید,بیفتید,بیفتید
5,-,افتادند,می‌افتادند,داشتند می‌افتادند,افتاده‌اند,افتاده بودند,افتند,می‌افتند,دارند می‌افتند,خواهند افتاد,افتاده باشند,بیفتند,بیفتند
0,انجام دادن,انجام دادم,انجام می‌دادم,داشتم انجام می‌دادم,انجام داده‌ام,انجام داده بودم,انجام دهم,انجام می‌دهم,دارم انجام می‌دهم,انجام خواهم داد,انجام داده باشم,انجام بدهم,-
1,دادن,انجام دادی,انجام می‌دادی,داشتی انجام می‌دادی,انجام داده‌ای,انجام داده بودی,انجام دهی,انجام می‌دهی,داری انجام می‌دهی,انجام خواهی داد,انجام داده باشی,انجام بدهی,انجام بده
2,داد,انجام داد,انجام می‌داد,داشت انجام می‌داد,انجام داده(است),انجام داده بود,انجام دهد,انجام می‌دهد,دارد انجام می‌دهد,انجام خواهد داد,انجام داده باشد,انجام بدهد,انجام بدهد
3,داده,انجام دادیم,انجام می‌دادیم,داشتیم انجام می‌دادیم,انجام داده‌ایم,انجام داده بودیم,انجام دهیم,انجام می‌دهیم,داریم انجام می‌دهیم,انجام خواهیم داد,انجام داده باشیم,انجام بدهیم,انجام بدهیم
4,ده,انجام دادید,انجام می‌دادید,داشتید انجام می‌دادید,انجام داده‌اید,انجام داده بودید,انجام دهید,انجام می‌دهید,دارید انجام می‌دهید,انجام خواهید داد,انجام داده باشید,انجام بدهید,انجام بدهید
5,-,انجام دادند,انجام می‌دادند,داشتند انجام می‌دادند,انجام داده‌اند,انجام داده بودند,انجام دهند,انجام می‌دهند,دارند انجام می‌دهند,انجام خواهند داد,انجام داده باشند,انجام بدهند,انجام بدهند
0,انداختن,انداختم,می‌انداختم,داشتم می‌انداختم,انداخته‌ام,انداخته بودم,اندازم,می‌اندازم,دارم می‌اندازم,خواهم انداخت,انداخته باشم,بیندازم,-
1,انداخت,انداختی,می‌انداختی,داشتی می‌انداختی,انداخته‌ای,انداخته بودی,اندازی,می‌اندازی,داری می‌اندازی,خواهی انداخت,انداخته باشی,بیندازی,بینداز
2,انداخته,انداخت,می‌انداخت,داشت می‌انداخت,انداخته(است),انداخته بود,اندازد,می‌اندازد,دارد می‌اندازد,خواهد انداخت,انداخته باشد,بیندازد,بیندازد
3,انداز,انداختیم,می‌انداختیم,داشتیم می‌انداختیم,انداخته‌ایم,انداخته بودیم,اندازیم,می‌اندازیم,داریم می‌اندازیم,خواهیم انداخت,انداخته باشیم,بیندازیم,بیندازیم
4,-,انداختید,می‌انداختید,داشتید می‌انداختید,انداخته‌اید,انداخته بودید,اندازید,می‌اندازید,دارید می‌اندازید,خواهید انداخت,انداخته باشید,بیندازید,بیندازید
5,-,انداختند,می‌انداختند,داشتند می‌انداختند,انداخته‌اند,انداخته بودند,اندازند,می‌اندازند,دارند می‌اندازند,خواهند انداخت,انداخته باشند,بیندازند,بیندازند
0,ایستادن,ایستادم,می‌ایستادم,داشتم می‌ایستادم,ایستاده‌ام,ایستاده بودم,ایستم,می‌ایستم,دارم می‌ایستم,خواهم ایستاد,ایستاده باشم,بایستم,-
1,ایستاد,ایستادی,می‌ایستادی,داشتی می‌ایستادی,ایستاده‌ای,ایستاده بودی,ایستی,می‌ایستی,داری می‌ایستی,خواهی ایستاد,ایستاده باشی,بایستی,بایست
2,ایستاده,ایستاد,می‌ایستاد,داشت می‌ایستاد,ایستاده(است),ایستاده بود,ایستد,می‌ایستد,دارد می‌ایستد,خواهد ایستاد,ایستاده باشد,بایستد,بایستد
3,ایست,ایستادیم,می‌ایستادیم,داشتیم می‌ایستادیم,ایستاده‌ایم,ایستاده بودیم,ایستیم,می‌ایستیم,داریم می‌ایستیم,خواهیم ایستاد,ایستاده باشیم,بایستیم,بایستیم
4,-,ایستادید,می‌ایستادید,داشتید می‌ایستادید,ایستاده‌اید,ایستاده بودید,ایستید,می‌ایستید,دارید می‌ایستید,خواهید ایستاد,ایستاده باشید,بایستید,بایستید
5,-,ایستادند,می‌ایستادند,داشتند می‌ایستادند,ایستاده‌اند,ایستاده بودند,ایستند,می‌ایستند,دارند می‌ایستند,خواهند ایستاد,ایستاده باشند,بایستند,بایستند
0,باختن,باختم,می‌باختم,داشتم می‌باختم,باخته‌ام,باخته بودم,بازم,می‌بازم,دارم می‌بازم,خواهم باخت,باخته باشم,ببازم,-
1,باخت,باختی,می‌باختی,داشتی می‌باختی,باخته‌ای,باخته بودی,بازی,می‌بازی,داری می‌بازی,خواهی باخت,باخته باشی,ببازی,بباز
2,باخته,باخت,می‌باخت,داشت می‌باخت,باخته(است),باخته بود,بازد,می‌بازد,دارد می‌بازد,خواهد باخت,باخته باشد,ببازد,ببازد
3,باز,باختیم,می‌باختیم,داشتیم می‌باختیم,باخته‌ایم,باخته بودیم,بازیم,می‌بازیم,داریم می‌بازیم,خواهیم باخت,باخته باشیم,ببازیم,ببازیم
4,-,باختید,می‌باختید,داشتید می‌باختید,باخته‌اید,باخته بودید,بازید,می‌بازید,دارید می‌بازید,خواهید باخت,باخته باشید,ببازید,ببازید
5,-,باختند,می‌باختند,داشتند می‌باختند,باخته‌اند,باخته بودند,بازند,می‌بازند,دارند می‌بازند,خواهند باخت,باخته باشند,ببازند,ببازند
0,باریدن,باریدم,می‌باریدم,داشتم می‌باریدم,باریده‌ام,باریده بودم,بارم,می‌بارم,دارم می‌بارم,خواهم بارید,باریده باشم,ببارم,-
1,بارید,باریدی,می‌باریدی,داشتی می‌باریدی,باریده‌ای,باریده بودی,باری,می‌باری,داری می‌باری,خواهی بارید,باریده باشی,بباری,ببار
2,باریده,بارید,می‌بارید,داشت می‌بارید,باریده(است),باریده بود,بارد,می‌بارد,دارد می‌بارد,خواهد بارید,باریده باشد,ببارد,ببارد
3,بار,باریدیم,می‌باریدیم,داشتیم می‌باریدیم,باریده‌ایم,باریده بودیم,باریم,می‌باریم,داریم می‌باریم,خواهیم بارید,باریده باشیم,بباریم,بباریم
4,-,باریدید,می‌باریدید,داشتید می‌باریدید,باریده‌اید,باریده بودید,بارید,می‌بارید,دارید می‌بارید,خواهید بارید,باریده باشید,ببارید,ببارید
5,-,باریدند,می‌باریدند,داشتند می‌باریدند,باریده‌اند,باریده بودند,بارند,می‌بارند,دارند می‌بارند,خواهند بارید,باریده باشند,ببارند,ببارند
0,باز کردن,باز کردم,باز می‌کردم,داشتم باز می‌کردم,باز کرده‌ام,باز کرده بودم,باز کنم,باز می‌کنم,دارم باز می‌کنم,باز خواهم کرد,باز کرده باشم,باز بکنم,-
1,کردن,باز کردی,باز می‌کردی,داشتی باز می‌کردی,باز کرده‌ای,باز کرده بودی,باز کنی,باز می‌کنی,داری باز می‌کنی,باز خواهی کرد,باز کرده باشی,باز بکنی,باز بکن
2,کرد,باز کرد,باز می‌کرد,داشت باز می‌کرد,باز کرده(است),باز کرده بود,باز کند,باز می‌کند,دارد باز می‌کند,باز خواهد کرد,باز کرده باشد,باز بکند,باز بکند
3,کرده,باز کردیم,باز می‌کردیم,داشتیم باز می‌کردیم,باز کرده‌ایم,باز کرده بودیم,باز کنیم,باز می‌کنیم,داریم باز می‌کنیم,باز خواهیم کرد,باز کرده باشیم,باز بکنیم,باز بکنیم
4,کن,باز کردید,باز می‌کردید,داشتید باز می‌کردید,باز کرده‌اید,باز کرده بودید,باز کنید,باز می‌کنید,دارید باز می‌کنید,باز خواهید کرد,باز کرده باشید,باز بکنید,باز بکنید
5,-,باز کردند,باز می‌کردند,داشتند باز می‌کردند,باز کرده‌اند,باز کرده بودند,باز کنند,باز می‌کنند,دارند باز می‌کنند,باز خواهند کرد,باز کرده باشند,باز بکنند,باز بکنند
0,بازی کردن,بازی کردم,بازی می‌کردم,داشتم بازی می‌کردم,بازی کرده‌ام,بازی کرده بودم,بازی کنم,بازی می‌کنم,دارم بازی می‌کنم,بازی خواهم کرد,بازی کرده باشم,بازی بکنم,-
1,کردن,بازی کردی,بازی می‌کردی,داشتی بازی می‌کردی,بازی کرده‌ای,بازی کرده بودی,بازی کنی,بازی می‌کنی,داری بازی می‌کنی,بازی خواهی کرد,بازی کرده باشی,بازی بکنی,بازی بکن
2,کرد,بازی کرد,بازی می‌کرد,داشت بازی می‌کرد,بازی کرده(است),بازی کرده بود,بازی کند,بازی می‌کند,دارد بازی می‌کند,بازی خواهد کرد,بازی کرده باشد,بازی بکند,بازی بکند
3,کرده,بازی کردیم,بازی می‌کردیم,داشتیم بازی می‌کردیم,بازی کرده‌ایم,بازی کرده بودیم,بازی کنیم,بازی می‌کنیم,داریم بازی می‌کنیم,بازی خواهیم کرد,بازی کرده باشیم,بازی بکنیم,بازی بکنیم
4,کن,بازی کردید,بازی می‌کردید,داشتید بازی می‌کردید,بازی کرده‌اید,بازی کرده بودید,بازی کنید,بازی می‌کنید,دارید بازی می‌کنید,بازی خواهید کرد,بازی کرده باشید,بازی بکنید,بازی بکنید
5,-,بازی کردند,بازی می‌کردند,داشتند بازی می‌کردند,بازی کرده‌اند,بازی کرده بودند,بازی کنند,بازی می‌کنند,دارند بازی می‌کنند,بازی خواهند کرد,بازی کرده باشند,بازی بکنند,بازی بکنند
0,بافتن,بافتم,می‌بافتم,داشتم می‌بافتم,بافته‌ام,بافته بودم,بافم,می‌بافم,دارم می‌بافم,خواهم بافت,بافته باشم,ببافم,-
1,بافت,بافتی,می‌بافتی,داشتی می‌بافتی,بافته‌ای,بافته بودی,بافی,می‌بافی,داری می‌بافی,خواهی بافت,بافته باشی,ببافی,بباف
2,بافته,بافت,می‌بافت,داشت می‌بافت,بافته(است),بافته بود,بافد,می‌بافد,دارد می‌بافد,خواهد بافت,بافته باشد,ببافد,ببافد
3,باف,بافتیم,می‌بافتیم,داشتیم می‌بافتیم,بافته‌ایم,بافته بودیم,بافیم,می‌بافیم,داریم می‌بافیم,خواهیم بافت,بافته باشیم,ببافیم,ببافیم
4,-,بافتید,می‌بافتید,داشتید می‌بافتید,بافته‌اید,بافته بودید,بافید,می‌بافید,دارید می‌بافید,خواهید بافت,بافته باشید,ببافید,ببافید
5,-,بافتند,می‌بافتند,داشتند می‌بافتند,بافته‌اند,بافته بودند,بافند,می‌بافند,دارند می‌بافند,خواهند بافت,بافته باشند,ببافند,ببافند
0,باور کردن,باور کردم,باور می‌کردم,داشتم باور می‌کردم,باور کرده‌ام,باور کرده بودم,باور کنم,باور می‌کنم,دارم باور می‌کنم,باور خواهم کرد,باور کرده باشم,باور بکنم,-
1,کردن,باور کردی,باور می‌کردی,داشتی باور می‌کردی,باور کرده‌ای,باور کرده بودی,باور کنی,باور می‌کنی,داری باور می‌کنی,باور خواهی کرد,باور کرده باشی,باور بکنی,باور بکن
2,کرد,باور کرد,باور می‌کرد,داشت باور می‌کرد,باور کرده(است),باور کرده بود,باور کند,باور می‌کند,دارد باور می‌کند,باور خواهد کرد,باور کرده باشد,باور بکند,باور بکند
3,کرده,باور کردیم,باور می‌کردیم,داشتیم باور می‌کردیم,باور کرده‌ایم,باور کرده بودیم,باور کنیم,باور می‌کنیم,داریم باور می‌کنیم,باور خواهیم کرد,باور کرده باشیم,باور بکنیم,باور بکنیم
4,کن,باور کردید,باور می‌کردید,داشتید باور می‌کردید,باور کرده‌اید,باور کرده بودید,باور کنید,باور می‌کنید,دارید باور می‌کنید,باور خواهید کرد,باور کرده باشید,باور بکنید,باور بکنید
5,-,باور کردند,باور می‌کردند,داشتند باور می‌کردند,باور کرده‌اند,باور کرده بودند,باور کنند,باور می‌کنند,دارند باور می‌کنند,باور خواهند کرد,باور کرده باشند,باور بکنند,باور بکنند
0,بخارپز کردن,بخارپز کردم,بخارپز می‌کردم,داشتم بخارپز می‌کردم,بخارپز کرده‌ام,بخارپز کرده بودم,بخارپز کنم,بخارپز می‌کنم,دارم بخارپز می‌کنم,بخارپز خواهم کرد,بخارپز کرده باشم,بخارپز بکنم,-
1,کردن,بخارپز کردی,بخارپز می‌کردی,داشتی بخارپز می‌کردی,بخارپز کرده‌ای,بخارپز کرده بودی,بخارپز کنی,بخارپز می‌کنی,داری بخارپز می‌کنی,بخارپز خواهی کرد,بخارپز کرده باشی,بخارپز بکنی,بخارپز بکن
2,کرد,بخارپز کرد,بخارپز می‌کرد,داشت بخارپز می‌کرد,بخارپز کرده(است),بخارپز کرده بود,بخارپز کند,بخارپز می‌کند,دارد بخارپز می‌کند,بخارپز خواهد کرد,بخارپز کرده باشد,بخارپز بکند,بخارپز بکند
