,roots,indicative_past.past_simple,indicative_past.past imperfective,indicative_past.past_progressive,indicative_past.past_narrative,indicative_past.past_precedent,indicative_present.present_simple,indicative_present.present_imperfective,indicative_present.present_progressive,indicative_future.future_simple,subjunctive_past.past_narrative,subjunctive_present.present_simple,imperative_present.present_simple
0,گوش دادن,گوش دادم,گوش می‌دادم,داشتم گوش می‌دادم,گوش داده‌ام,گوش داده بودم,گوش دهم,گوش می‌دهم,دارم گوش می‌دهم,گوش خواهم داد,گوش داده باشم,گوش بدهم,-
1,دادن,گوش دادی,گوش می‌دادی,داشتی گوش می‌دادی,گوش داده‌ای,گوش داده بودی,گوش دهی,گوش می‌دهی,داری گوش می‌دهی,گوش خواهی داد,گوش داده باشی,گوش بدهی,گوش بده
2,داد,گوش داد,گوش می‌داد,داشت گوش می‌داد,گوش داده(است),گوش داده بود,گوش دهد,گوش می‌دهد,دارد گوش می‌دهد,گوش خواهد داد,گوش داده باشد,گوش بدهد,گوش بدهد
3,داده,گوش دادیم,گوش می‌دادیم,داشتیم گوش می‌دادیم,گوش داده‌ایم,گوش داده بودیم,گوش دهیم,گوش می‌دهیم,داریم گوش می‌دهیم,گوش خواهیم داد,گوش داده باشیم,گوش بدهیم,گوش بدهیم
4,ده,گوش دادید,گوش می‌دادید,داشتید گوش می‌دادید,گوش داده‌اید,گوش داده بودید,گوش دهید,گوش می‌دهید,دارید گوش می‌دهید,گوش خواهید داد,گوش داده باشید,گوش بدهید,گوش بدهید
5,-,گوش دادند,گوش می‌دادند,داشتند گوش می‌دادند,گوش داده‌اند,گوش داده بودند,گوش دهند,گوش می‌دهند,دارند گوش می‌دهند,گوش خواهند داد,گوش داده باشند,گوش بدهند,گوش بدهند
0,گوش کردن,گوش کردم,گوش می‌کردم,داشتم گوش می‌کردم,گوش کرده‌ام,گوش کرده بودم,گوش کنم,گوش می‌کنم,دارم گوش می‌کنم,گوش خواهم کرد,گوش کرده باشم,گوش بکنم,-
1,کردن,گوش کردی,گوش می‌کردی,داشتی گوش می‌کردی,گوش کرده‌ای,گوش کرده بودی,گوش کنی,گوش می‌کنی,داری گوش می‌کنی,گوش خواهی کرد,گوش کرده باشی,گوش بکنی,گوش بکن
2,کرد,گوش کرد,گوش می‌کرد,داشت گوش می‌کرد,گوش کرده(است),گوش کرده بود,گوش کند,گوش می‌کند,دارد گوش می‌کند,گوش خواهد کرد,گوش کرده باشد,گوش بکند,گوش بکند
3,کرده,گوش کردیم,گوش می‌کردیم,داشتیم گوش می‌کردیم,گوش کرده‌ایم,گوش کرده بودیم,گوش کنیم,گوش می‌کنیم,داریم گوش می‌کنیم,گوش خواهیم کرد,گوش کرده باشیم,گوش بکنیم,گوش بکنیم
